lat,long,date,temp
"""25.8572399"," 39.43571031610098""",2023-08-22,43.9
"""25.8572399"," 39.43571031610098""",2023-08-23,43.7
"""25.8572399"," 39.43571031610098""",2023-08-24,43.8
"""25.8572399"," 39.43571031610098""",2023-08-25,43.9
"""25.8572399"," 39.43571031610098""",2023-08-26,44.2
"""25.8572399"," 39.43571031610098""",2023-08-27,44.5
"""25.8572399"," 39.43571031610098""",2023-08-28,40.7
"""25.8572399"," 39.43571031610098""",2023-08-29,38.1
"""25.8572399"," 39.43571031610098""",2023-08-30,39.7
"""25.8572399"," 39.43571031610098""",2023-08-31,40.6
"""25.8572399"," 39.43571031610098""",2023-09-01,41.3
"""25.8572399"," 39.43571031610098""",2023-09-02,41.5
"""25.8572399"," 39.43571031610098""",2023-09-03,41.7
"""25.8572399"," 39.43571031610098""",2023-09-04,41.6
"""25.8572399"," 39.43571031610098""",2023-09-05,41.8
"""25.8572399"," 39.43571031610098""",2023-09-06,42.7
"""25.8572399"," 39.43571031610098""",2023-09-07,42.9
"""25.8572399"," 39.43571031610098""",2023-09-08,42.1
"""25.8572399"," 39.43571031610098""",2023-09-09,42.7
"""25.8572399"," 39.43571031610098""",2023-09-10,42.2
"""25.8572399"," 39.43571031610098""",2023-09-11,41.2
"""25.8572399"," 39.43571031610098""",2023-09-12,40.6
"""25.8572399"," 39.43571031610098""",2023-09-13,39.2
"""25.8572399"," 39.43571031610098""",2023-09-14,39.4
"""25.8572399"," 39.43571031610098""",2023-09-15,41.2
"""25.8572399"," 39.43571031610098""",2023-09-16,41
"""25.8572399"," 39.43571031610098""",2023-09-17,40.2
"""25.8572399"," 39.43571031610098""",2023-09-18,39.6
"""25.8572399"," 39.43571031610098""",2023-09-19,39.4
"""25.8572399"," 39.43571031610098""",2023-09-20,39.9
"""25.8572399"," 39.43571031610098""",2023-09-21,40.3
"""25.8572399"," 39.43571031610098""",2023-09-22,41
"""25.8572399"," 39.43571031610098""",2023-09-23,41.5
"""25.8572399"," 39.43571031610098""",2023-09-24,41.4
"""25.8572399"," 39.43571031610098""",2023-09-25,41.1
"""25.8572399"," 39.43571031610098""",2023-09-26,40.4
"""25.8572399"," 39.43571031610098""",2023-09-27,40.3
"""25.8572399"," 39.43571031610098""",2023-09-28,40.7
"""25.8572399"," 39.43571031610098""",2023-09-29,40.4
"""25.8572399"," 39.43571031610098""",2023-09-30,40.2
"""25.8572399"," 39.43571031610098""",2023-10-01,39.7
"""25.8572399"," 39.43571031610098""",2023-10-02,39.4
"""25.8572399"," 39.43571031610098""",2023-10-03,39.5
"""25.8572399"," 39.43571031610098""",2023-10-04,38.7
"""25.8572399"," 39.43571031610098""",2023-10-05,39.8
"""25.8572399"," 39.43571031610098""",2023-10-06,38.8
"""25.8572399"," 39.43571031610098""",2023-10-07,38.5
"""25.8572399"," 39.43571031610098""",2023-10-08,39.1
"""25.8572399"," 39.43571031610098""",2023-10-09,38
"""25.8572399"," 39.43571031610098""",2023-10-10,37.4
"""25.8572399"," 39.43571031610098""",2023-10-11,37.6
"""25.8572399"," 39.43571031610098""",2023-10-12,36.8
"""25.8572399"," 39.43571031610098""",2023-10-13,37.4
"""25.8572399"," 39.43571031610098""",2023-10-14,36.7
"""25.8572399"," 39.43571031610098""",2023-10-15,35.1
"""25.8572399"," 39.43571031610098""",2023-10-16,34.4
"""25.8572399"," 39.43571031610098""",2023-10-17,34.3
"""24.471153"," 39.6111216""",2023-07-19,45
"""24.471153"," 39.6111216""",2023-07-20,43.1
"""24.471153"," 39.6111216""",2023-07-21,43
"""24.471153"," 39.6111216""",2023-07-22,45
"""24.471153"," 39.6111216""",2023-07-23,45
"""24.471153"," 39.6111216""",2023-07-24,44
"""24.471153"," 39.6111216""",2023-07-25,43.1
"""24.471153"," 39.6111216""",2023-07-26,43
"""24.471153"," 39.6111216""",2023-07-27,44
"""24.471153"," 39.6111216""",2023-07-28,43
"""24.471153"," 39.6111216""",2023-07-29,43.1
"""24.471153"," 39.6111216""",2023-07-30,42
"""24.471153"," 39.6111216""",2023-07-31,42
"""24.471153"," 39.6111216""",2023-08-01,41
"""24.471153"," 39.6111216""",2023-08-02,42
"""24.471153"," 39.6111216""",2023-08-03,43.8
"""24.471153"," 39.6111216""",2023-08-04,43
"""24.471153"," 39.6111216""",2023-08-05,43
"""24.471153"," 39.6111216""",2023-08-06,42
"""24.471153"," 39.6111216""",2023-08-07,42
"""24.471153"," 39.6111216""",2023-08-08,43.8
"""24.471153"," 39.6111216""",2023-08-09,43
"""24.471153"," 39.6111216""",2023-08-10,44
"""24.471153"," 39.6111216""",2023-08-11,45
"""24.471153"," 39.6111216""",2023-08-12,44
"""24.471153"," 39.6111216""",2023-08-13,45
"""24.471153"," 39.6111216""",2023-08-14,45
"""24.471153"," 39.6111216""",2023-08-15,46
"""24.471153"," 39.6111216""",2023-08-16,46
"""24.471153"," 39.6111216""",2023-08-17,45
"""24.471153"," 39.6111216""",2023-08-18,46
"""24.471153"," 39.6111216""",2023-08-19,46
"""24.471153"," 39.6111216""",2023-08-20,45
"""24.471153"," 39.6111216""",2023-08-21,45
"""24.471153"," 39.6111216""",2023-08-22,45
"""24.471153"," 39.6111216""",2023-08-23,46
"""24.471153"," 39.6111216""",2023-08-24,45
"""24.471153"," 39.6111216""",2023-08-25,45
"""24.471153"," 39.6111216""",2023-08-26,46.8
"""24.471153"," 39.6111216""",2023-08-27,47
"""24.471153"," 39.6111216""",2023-08-28,43.9
"""24.471153"," 39.6111216""",2023-08-29,41
"""24.471153"," 39.6111216""",2023-08-30,41
"""24.471153"," 39.6111216""",2023-08-31,43
"""24.471153"," 39.6111216""",2023-09-01,44
"""24.471153"," 39.6111216""",2023-09-02,44
"""24.471153"," 39.6111216""",2023-09-03,43
"""24.471153"," 39.6111216""",2023-09-04,43.1
"""24.471153"," 39.6111216""",2023-09-05,44
"""24.471153"," 39.6111216""",2023-09-06,45
"""24.471153"," 39.6111216""",2023-09-07,45
"""24.471153"," 39.6111216""",2023-09-08,44.1
"""24.471153"," 39.6111216""",2023-09-09,45
"""24.471153"," 39.6111216""",2023-09-10,45
"""24.471153"," 39.6111216""",2023-09-11,43
"""24.471153"," 39.6111216""",2023-09-12,43
"""24.471153"," 39.6111216""",2023-09-13,42
"""24.471153"," 39.6111216""",2023-09-14,43
"""24.471153"," 39.6111216""",2023-09-15,44
"""24.471153"," 39.6111216""",2023-09-16,43
"""24.471153"," 39.6111216""",2023-09-17,43
"""24.471153"," 39.6111216""",2023-09-18,42
"""24.471153"," 39.6111216""",2023-09-19,42
"""24.471153"," 39.6111216""",2023-09-20,43.1
"""24.471153"," 39.6111216""",2023-09-21,42
"""24.471153"," 39.6111216""",2023-09-22,43
"""24.471153"," 39.6111216""",2023-09-23,43
"""24.471153"," 39.6111216""",2023-09-24,44
"""24.471153"," 39.6111216""",2023-09-25,43
"""24.471153"," 39.6111216""",2023-09-26,43
"""24.471153"," 39.6111216""",2023-09-27,43
"""24.471153"," 39.6111216""",2023-09-28,44
"""24.471153"," 39.6111216""",2023-09-29,43
"""24.471153"," 39.6111216""",2023-09-30,42
"""24.471153"," 39.6111216""",2023-10-01,43
"""24.471153"," 39.6111216""",2023-10-02,42
"""24.471153"," 39.6111216""",2023-10-03,41
"""24.471153"," 39.6111216""",2023-10-04,41
"""24.471153"," 39.6111216""",2023-10-05,42
"""24.471153"," 39.6111216""",2023-10-06,41
"""24.471153"," 39.6111216""",2023-10-07,41
"""24.471153"," 39.6111216""",2023-10-08,40.8
"""24.471153"," 39.6111216""",2023-10-09,40
"""24.471153"," 39.6111216""",2023-10-10,40.1
"""24.471153"," 39.6111216""",2023-10-11,40
"""24.471153"," 39.6111216""",2023-10-12,40
"""24.471153"," 39.6111216""",2023-10-13,39
"""24.471153"," 39.6111216""",2023-10-14,39
"""24.471153"," 39.6111216""",2023-10-15,38
"""24.471153"," 39.6111216""",2023-10-16,37
"""24.471153"," 39.6111216""",2023-10-17,36
"""21.420847"," 39.826869""",2023-07-19,44
"""21.420847"," 39.826869""",2023-07-20,43.1
"""21.420847"," 39.826869""",2023-07-21,43.6
"""21.420847"," 39.826869""",2023-07-22,44.1
"""21.420847"," 39.826869""",2023-07-23,44
"""21.420847"," 39.826869""",2023-07-24,45.1
"""21.420847"," 39.826869""",2023-07-25,44.1
"""21.420847"," 39.826869""",2023-07-26,45.1
"""21.420847"," 39.826869""",2023-07-27,42.3
"""21.420847"," 39.826869""",2023-07-28,44.5
"""21.420847"," 39.826869""",2023-07-29,44.3
"""21.420847"," 39.826869""",2023-07-30,42.6
"""21.420847"," 39.826869""",2023-07-31,43
"""21.420847"," 39.826869""",2023-08-01,43.6
"""21.420847"," 39.826869""",2023-08-02,42.5
"""21.420847"," 39.826869""",2023-08-03,42.1
"""21.420847"," 39.826869""",2023-08-04,42.5
"""21.420847"," 39.826869""",2023-08-05,41.8
"""21.420847"," 39.826869""",2023-08-06,41
"""21.420847"," 39.826869""",2023-08-07,41.5
"""21.420847"," 39.826869""",2023-08-08,42.5
"""21.420847"," 39.826869""",2023-08-09,42.6
"""21.420847"," 39.826869""",2023-08-10,43.3
"""21.420847"," 39.826869""",2023-08-11,41.8
"""21.420847"," 39.826869""",2023-08-12,44.1
"""21.420847"," 39.826869""",2023-08-13,40.5
"""21.420847"," 39.826869""",2023-08-14,39
"""21.420847"," 39.826869""",2023-08-15,43.6
"""21.420847"," 39.826869""",2023-08-16,38.5
"""21.420847"," 39.826869""",2023-08-17,39.5
"""21.420847"," 39.826869""",2023-08-18,42
"""21.420847"," 39.826869""",2023-08-19,43
"""21.420847"," 39.826869""",2023-08-20,41.5
"""21.420847"," 39.826869""",2023-08-21,41.6
"""21.420847"," 39.826869""",2023-08-22,42.5
